name,lat,lng,category,city,country,googleMapsLink,note
冠一燒味,22.276967,114.1712225,港式/粵菜,香港,HK,http://maps.google.com/?cid=8380950523897516060,
蜜雪冰城 (佐敦),22.3050516,114.17195,手搖/茶飲,香港,HK,http://maps.google.com/?cid=14663064100819845956,
坤記煲仔小菜,22.2870412,114.1430347,港式料理,香港,HK,http://maps.google.com/?cid=9198654695205104473,
金滿堂甜品,22.3285199,114.190771,甜點,香港,HK,http://maps.google.com/?cid=10849547084438977977,
一點心,22.3254818,114.1691477,港式/粵菜,香港,HK,http://maps.google.com/?cid=4795447438211965162,
文記車仔麵,22.3318131,114.1627936,港式料理,香港,HK,http://maps.google.com/?cid=1687127962954339858,
雪山冰廳,22.3340954,114.1621283,冰品,香港,HK,http://maps.google.com/?cid=7043592818236488064,
豐信餃子店,22.3254541,114.1670854,港式料理,香港,HK,http://maps.google.com/?cid=5255200838906037417,
金華冰廳,22.3222738,114.1697189,冰品,香港,HK,http://maps.google.com/?cid=10081384275683139023,
祥興咖啡室,22.2693517,114.1849949,咖啡廳,香港,HK,http://maps.google.com/?cid=360516057498639821,
劉森記麵家 (褔榮街),22.3318822,114.1630146,港式料理,香港,HK,http://maps.google.com/?cid=15052055980120507978,
公和荳品廠,22.33108,114.1634738,甜點,香港,HK,http://maps.google.com/?cid=17593128379089612879,
合益泰小食,22.3304721,114.1612409,泰式料理,香港,HK,http://maps.google.com/?cid=282017044639781733,
華姐清湯腩,22.2831794,114.1915492,港式料理,香港,HK,http://maps.google.com/?cid=8770216752632045996,
新景園咖喱小廚,22.2758176,114.1729784,景點,香港,HK,http://maps.google.com/?cid=18273641364991116596,
魚蛋佬,22.283181,114.2218136,港式料理,香港,HK,http://maps.google.com/?cid=17777793978468505850,
好好運快餐店,22.3395684,114.1495555,港式料理,香港,HK,http://maps.google.com/?cid=8590429411278926015,
糖水雄,22.3070658,114.1657366,港式料理,香港,HK,http://maps.google.com/?cid=13852009957298820624,
甘露甜品,22.3168993,114.1910724,甜點,香港,HK,http://maps.google.com/?cid=16015851705878553598,
愛文生,22.3266872,114.1623071,港式料理,香港,HK,http://maps.google.com/?cid=9931320855480126151,
大圍小館,22.3742926,114.1788503,港式料理,香港,HK,http://maps.google.com/?cid=17658061083364481991,
人人和平,22.2895083,114.1964268,港式料理,香港,HK,http://maps.google.com/?cid=12232873889263381320,
雄記美食,22.2775615,114.1772713,港式料理,香港,HK,http://maps.google.com/?cid=2655990136455267788,
